,neuron_1,neuron_2,value,neuron_combination,p,p_adj,session_name,block,n1_cluster,n2_cluster,comb,group
158,1144,1154,0.012375025083434098,1144_1154,1.492,1.5483018867924527,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
159,1145,1154,0.35389990918507785,1145_1154,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
160,1146,1154,-0.40083827441987907,1146_1154,0.0,0.0,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
161,1148,1154,0.19856558152381962,1148_1154,0.0,0.0,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
162,1149,1154,0.06459827016874053,1149_1154,0.22,0.2574468085106383,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
163,1150,1154,0.3099629579723756,1150_1154,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
164,1151,1154,0.47995602446046154,1151_1154,0.0,0.0,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
165,1152,1154,0.5326478642691925,1152_1154,0.0,0.0,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
166,1153,1154,0.5050797428745308,1153_1154,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
167,1166,1167,0.1275889611025893,1166_1167,0.008,0.013333333333333334,hamilton_14,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,continuation
168,1166,1168,0.2967282495476632,1166_1168,0.0,0.0,hamilton_14,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,continuation
169,1167,1168,0.07259696810092126,1167_1168,0.182,0.22749999999999998,hamilton_14,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
170,1166,1173,-0.0004122766143869278,1166_1173,1.982,1.982,hamilton_14,baseline,slow_regular,slow_regular,slow_regular-slow_regular,continuation
171,1167,1173,0.25458694068555837,1167_1173,0.0,0.0,hamilton_14,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
172,1168,1173,0.1299727595461865,1168_1173,0.012,0.017142857142857144,hamilton_14,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
173,1166,1175,0.04158586563841765,1166_1175,0.596,0.6622222222222223,hamilton_14,baseline,slow_regular,slow_regular,slow_regular-slow_regular,continuation
174,1167,1175,0.31029179378605953,1167_1175,0.0,0.0,hamilton_14,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
175,1168,1175,0.27463176144206136,1168_1175,0.0,0.0,hamilton_14,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
176,1173,1175,0.512635659249444,1173_1175,0.0,0.0,hamilton_14,baseline,slow_regular,slow_regular,slow_regular-slow_regular,continuation
177,1250,1251,0.08140542029109346,1250_1251,0.114,0.14987149917627676,hamilton_23,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
178,1250,1255,0.2107160626267364,1250_1255,0.0,0.0,hamilton_23,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
179,1251,1255,0.11676717565432529,1251_1255,0.01,0.015570731707317074,hamilton_23,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
180,1250,1261,0.0585441165783228,1250_1261,0.312,0.37982608695652176,hamilton_23,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
181,1251,1261,-0.18447938670493688,1251_1261,0.0,0.0,hamilton_23,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,continuation
182,1255,1261,0.04732832634132956,1255_1261,0.49,0.5737637564196625,hamilton_23,baseline,slow_regular,slow_regular,slow_regular-slow_regular,continuation
183,1250,1263,0.03310282244161083,1250_1263,0.848,0.941173852573018,hamilton_23,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
184,1251,1263,-0.015539547892382452,1251_1263,1.406,1.4685706806282721,hamilton_23,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,continuation
